nom,ville,departement,adresse,type,pokemon,one_piece,autres_tcg,rachat_cartes,singles,scelle,ecommerce,priorite,source,site_web,plateforme,potentiel_scraping,statut,date_verification,doublon_potentiel
Mystic Games,Boulogne-Billancourt,92,"270 Bd Jean Jaurès, Boulogne-Billancourt",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
SmogTrade,Bourg-en-Bresse,01,"12 Rue Jules Migonney, Bourg-en-Bresse",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,smogtrade.fr,woocommerce,a_verifier_manuellement,"insuffisant_verifie (14 produits/0 slug pokemon -- boutique recente, catalogue encore tres reduit)",2026-08-25,Non
Octopus game,Bourges,18,"60 Rue d'Auron, 18000 Bourges",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,octopusgame.fr,prestashop,Oui,candidat_verifie (1382 produits/307 slugs pokemon),2026-08-25,Non
Playmogames Bourges,Bourges,18,"54 Rue Mirebeau, Bourges",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Lestrange Market,Bourgoin-Jallieu,38,"4 Place de la Halle, Bourgoin-Jallieu",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
A l'aize game,Brest,29,"49 Rue Trav., 29200 Brest",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
BANZAI BREST,Brest,29,"17 Rue Louis Pasteur, 29200 Brest",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Le Temple Du Jeu Brest,Brest,29,"18 Rue Yves Collet, 29200 Brest",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,Oui,P1,MapTCG,letempledujeu.fr,prestashop,A verifier manuellement,insuffisant_verifie (11465 produits/0 slug pokemon),2026-08-25,Non
PokeBreizh,Brest,29,"40 Rue Algésiras, Brest",TCG Pokémon,Oui,Non,Non,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,pokebreizh.fr,prestashop,Oui,candidat_verifie (260 produits/59 slugs pokemon),2026-08-25,Non
"Rachat de cartes Pokémon, Magic the Gathering…",Brest,29,"3 Rue Général Marchand, 29200 Brest",Rachat TCG,Oui,Non,Oui,Oui,Oui,À vérifier,À vérifier,P1,MapTCG,magicrushrachat.com,"aucune (rachat uniquement, vente via eBay)",Non,verifie_non_scrapable,2026-08-25,Non
TyzefTCG,Brest,29,"24 Rue Amiral Linois, 29200 Brest",TCG One Piece / rachat,Non,Oui,Non,Oui,Oui,Oui,Oui,P1,MapTCG,tyzeftcg.fr,prestashop,A verifier manuellement,insuffisant_verifie (29 produits/0 slug pokemon),2026-08-25,Non
Gamecash Brive,Brive-la-Gaillarde,19,"8 Rue Dr Massenat, Brive-la-Gaillarde",Cash/occasion/TCG,Oui,Non,Non,À vérifier,À vérifier,Oui,Oui,P1,MapTCG,gamecash.fr,prestashop,Oui,"candidat_verifie (97448 produits !/731 slugs pokemon -- CHAINE NATIONALE, tres gros volume)",2026-08-25,Non
La Taverne du Gobelin Farci,Saint-Etienne,42,"39 Rue du 11 Novembre, 42100 Saint-Etienne",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,PkmCards,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Ludiworld,Bussy-Saint-Georges,77,"9 boulevard Pierre Mendes France, 77600 Bussy-Saint-Georges",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,PkmCards,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
MrJoShop,Montluçon,03,"5 Rue Chabot d'Allier, 03100 Montluçon",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,PkmCards,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Playin Paris,Paris,75,"131 Avenue de France, 75013 Paris",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,Oui,P1,PkmCards,play-in.com,custom_non_detecte,Non,verifie_non_scrapable,2026-08-25,Oui
Wilbox,Cormeilles-en-Parisis,95,95240 Cormeilles-en-Parisis,TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,À vérifier,À vérifier,P2,PkmCards,À rechercher,À vérifier,À qualifier,À qualifier,2026-08-25,Non
Apothicarte,Périgueux,24,"5 Rue Saint-Silain, Périgueux",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
GOOD GAME STORE,Périgueux,24,"32 Bis Rue Limogeanne, 24000 Périgueux",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,aucun site propre (boutique leboncoin.fr uniquement),aucune,Non,"verifie_non_scrapable -- NB: Place Of Geek (placeofgeek.fr) est une boutique DIFFERENTE a proximite, pas confondue",2026-08-25,Non
La Boîte à Geek,Guéret,23,"11 Av. de la République, Guéret",TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
La Crique aux Jeux,Sens,89,"79 Grande Rue, Sens",TCG Pokémon / rachat,Oui,Non,Non,Oui,À vérifier,Oui,À vérifier,P1,MapTCG,crique-aux-jeux.fr,prestashop,Oui,candidat_verifie (19276 produits/175 slugs pokemon),2026-08-25,Non
Carta'Galaxie TCG,Perpignan,66,"ZAC du Mas Balande, Perpignan",TCG Pokémon/Magic,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Yukistore,Perpignan,66,"Carré d'Or, Chem. de la Roseraie, Perpignan",TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
Le club TCG,Francheville,69,"78 Grande Rue, 69340 Francheville",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,À rechercher,À vérifier,Moyen,À qualifier,2026-08-25,Non
